Edition	Footnote	Type	Designation							A 	d	tw	tw/2	bf	tf	T	k	k1	W	bf/2tf	h/tw	Fy'''	X1	X2x106	Ix	Zx	Sx	rx	y	yp	Iy	Zy	Sy	ry	x	xp	rz	maxf	Grip	eo	Qs36	Qs50	Qs36c	Qs50c	Qs36s	Qs50s	Astem	tan(a)	twstem	twstem/2	OD	ID	twall	J	t	Iy'	Sy'	ry'	sched	Anet36	d1A36	IxA36	SxA36	rxA36	y1A36	ryA36	AnetASTM	d1ASTM	IxASTM	SxASTM	rxASTM	y1ASTM	ryASTM	d/t	ry0	ry1_4	ry3_8	ry1_2	ry5_8	ry3_4	d/Af	rT	Fy''	Cw	Fy'	Cc50'	Cc36'	a	Wno	Sw	Qf	Qw	B	Ht / t	Ht	tnom	tdes	b / t	C	ro	H	ddet	bfdet	twdet	tfdet	kdes	kdet	B/t	Sz	Qs
13th		W	W40X149							43.8	38.2	0.63	  5/16	11.8	0.83			1  1/2 	149	7.11	54.3				9800	598	513	15	0	0	229	62.2	38.8	2.29	0	0	0			0								0			0	0		9.36	0																			0										80000					110	270	86.7	288	0	0	0	0	0		0	0	0	38  1/4 	11  3/4 	  5/8 	 13/16	2.01	2  1/8 	0	0	0
13th		W	W36X800							236	42.6	2.38	1  3/16	18	4.29			2  3/8 	800	2.1	13.5				64700	3650	3040	16.6	0	0	4200	743	467	4.22	0	0	0			0								0			0	0		1060	0																			0										1540000					172	3320	641	1820	0	0	0	0	0		0	0	0	42  1/2 	18	2  3/8 	4  5/16	5.24	5  9/16	0	0	0
13th		W	W36X652							192	41.1	1.97	1	17.6	3.54			2  3/16	652	2.48	16.3				50600	2910	2460	16.2	0	0	3230	581	367	4.1	0	0	0			0								0			0	0		593	0																			0										1130000					165	2560	518	1450	0	0	0	0	0		0	0	0	41	17  5/8 	2	3  9/16	4.49	4 13/16	0	0	0
13th		W	W36X529							156	39.8	1.61	 13/16	17.2	2.91			2	529	2.96	19.9				39600	2330	1990	16	0	0	2490	454	289	4	0	0	0			0								0			0	0		327	0																			0										846000					159	1990	419	1160	0	0	0	0	0		0	0	0	39  3/4 	17  1/4 	1  5/8 	2 15/16	3.86	4  3/16	0	0	0
13th		W	W36X487							143	39.3	1.5	  3/4 	17.1	2.68			1  7/8 	487	3.19	21.4				36000	2130	1830	15.8	0	0	2250	412	263	3.96	0	0	0			0								0			0	0		258	0																			0										754000					157	1800	383	1060	0	0	0	0	0		0	0	0	39  3/8 	17  1/8 	1  1/2 	2 11/16	3.63	4	0	0	0
13th		W	W36X441							130	38.9	1.36	 11/16	17	2.44			1  7/8 	441	3.48	23.6				32100	1910	1650	15.7	0	0	1990	368	235	3.92	0	0	0			0								0			0	0		194	0																			0										661000					154	1600	347	950	0	0	0	0	0		0	0	0	38  7/8 	17	1  3/8 	2  7/16	3.39	3  3/4 	0	0	0
13th		W	W36X395							116	38.4	1.22	  5/8 	16.8	2.2			1 13/16	395	3.83	26.3				28500	1710	1490	15.7	0	0	1750	325	208	3.88	0	0	0			0								0			0	0		142	0																			0										575000					152	1410	311	847	0	0	0	0	0		0	0	0	38  3/8 	16  7/8 	1  1/4 	2  3/16	3.15	3  7/16	0	0	0
13th		W	W36X361							106	38	1.12	  9/16	16.7	2.01			1  3/4 	361	4.16	28.6				25700	1550	1350	15.6	0	0	1570	293	188	3.85	0	0	0			0								0			0	0		109	0																			0										509000					150	1270	282	767	0	0	0	0	0		0	0	0	38	16  3/4 	1  1/8 	2	2.96	3  5/16	0	0	0
13th		W	W36X330							97	37.7	1.02	  1/2 	16.6	1.85			1  3/4 	330	4.49	31.4				23300	1410	1240	15.5	0	0	1420	265	171	3.83	0	0	0			0								0			0	0		84.3	0																			0										456000					149	1150	259	698	0	0	0	0	0		0	0	0	37  5/8 	16  5/8 	1	1  7/8 	2.8	3  1/8 	0	0	0
13th		W	W36X302							88.8	37.3	0.945	  1/2 	16.7	1.68			1 11/16	302	4.96	33.9				21100	1280	1130	15.4	0	0	1300	241	156	3.82	0	0	0			0								0			0	0		64.3	0																			0										412000					148	1040	235	635	0	0	0	0	0		0	0	0	37  3/8 	16  5/8 	 15/16	1 11/16	2.63	3	0	0	0
13th		W	W36X282							82.9	37.1	0.885	  7/16	16.6	1.57			1  5/8 	282	5.29	36.2				19600	1190	1050	15.4	0	0	1200	223	144	3.8	0	0	0			0								0			0	0		52.7	0																			0										378000					147	960	219	591	0	0	0	0	0		0	0	0	37  1/8 	16  5/8 	  7/8 	1  9/16	2.52	2  7/8 	0	0	0
13th		W	W36X262							77	36.9	0.84	  7/16	16.6	1.44			1  5/8 	262	5.75	38.2				17900	1100	972	15.3	0	0	1090	204	132	3.76	0	0	0			0								0			0	0		41.6	0																			0										342000					147	873	200	543	0	0	0	0	0		0	0	0	36  7/8 	16  1/2 	 13/16	1  7/16	2.39	2  3/4 	0	0	0
13th		W	W36X247							72.5	36.7	0.8	  7/16	16.5	1.35			1  5/8 	247	6.11	40.1				16700	1030	913	15.2	0	0	1010	190	123	3.74	0	0	0			0								0			0	0		34.7	0																			0										316000					146	812	187	509	0	0	0	0	0		0	0	0	36  5/8 	16  1/2 	 13/16	1  3/8 	2.3	2  5/8 	0	0	0
13th		W	W36X231							68.1	36.5	0.76	  3/8 	16.5	1.26			1  9/16	231	6.54	42.2				15600	963	854	15.1	0	0	940	176	114	3.71	0	0	0			0								0			0	0		28.7	0																			0										292000					145	756	175	476	0	0	0	0	0		0	0	0	36  1/2 	16  1/2 	  3/4 	1  1/4 	2.21	2  9/16	0	0	0
13th		W	W36X256							75.4	37.4	0.96	  1/2 	12.2	1.73			1  5/16	256	3.53	33.8				16800	1040	895	14.9	0	0	528	137	86.5	2.65	0	0	0			0								0			0	0		52.9	0																			0										168000					109	576	174	516	0	0	0	0	0		0	0	0	37  3/8 	12  1/4 	 15/16	1  3/4 	2.48	2  5/8 	0	0	0
13th		W	W36X232							68.1	37.1	0.87	  7/16	12.1	1.57			1  1/4 	232	3.86	37.3				15000	936	809	14.8	0	0	468	122	77.2	2.62	0	0	0			0								0			0	0		39.6	0																			0										148000					108	512	157	464	0	0	0	0	0		0	0	0	37  1/8 	12  1/8 	  7/8 	1  9/16	2.32	2  7/16	0	0	0
13th		W	W36X210							61.8	36.7	0.83	  7/16	12.2	1.36			1  1/4 	210	4.48	39.1				13200	833	719	14.6	0	0	411	107	67.5	2.58	0	0	0			0								0			0	0		28	0																			0										128000					108	446	136	412	0	0	0	0	0		0	0	0	36  3/4 	12  1/8 	 13/16	1  3/8 	2.11	2  5/16	0	0	0
13th		W	W36X194							57	36.5	0.765	  3/8 	12.1	1.26			1  3/16	194	4.81	42.4				12100	767	664	14.6	0	0	375	97.7	61.9	2.56	0	0	0			0								0			0	0		22.2	0																			0										116000					107	407	126	379	0	0	0	0	0		0	0	0	36  1/2 	12  1/8 	  3/4 	1  1/4 	2.01	2  3/16	0	0	0
13th		W	W36X182							53.6	36.3	0.725	  3/8 	12.1	1.18			1  3/16	182	5.12	44.8				11300	718	623	14.5	0	0	347	90.7	57.6	2.55	0	0	0			0								0			0	0		18.5	0																			0										107000					106	378	118	355	0	0	0	0	0		0	0	0	36  3/8 	12  1/8 	  3/4 	1  3/16	1.93	2  1/8 	0	0	0
13th		W	W36X170							50.1	36.2	0.68	  3/8 	12	1.1			1  3/16	170	5.47	47.7				10500	668	581	14.5	0	0	320	83.8	53.2	2.53	0	0	0			0								0			0	0		15.1	0																			0										98500					105	349	109	330	0	0	0	0	0		0	0	0	36  1/8 	12	 11/16	1  1/8 	1.85	2	0	0	0
13th		W	W36X160							47	36	0.65	  5/16	12	1.02			1  1/8 	160	5.88	49.9				9760	624	542	14.4	0	0	295	77.3	49.1	2.5	0	0	0			0								0			0	0		12.4	0																			0										90200					105	321	101	308	0	0	0	0	0		0	0	0	36	12	  5/8 	1	1.77	1 15/16	0	0	0
13th		W	W36X150							44.2	35.9	0.625	  5/16	12	0.94			1  1/8 	150	6.37	51.9				9040	581	504	14.3	0	0	270	70.9	45.1	2.47	0	0	0			0								0			0	0		10.1	0																			0										82200					105	294	93.1	287	0	0	0	0	0		0	0	0	35  7/8 	12	  5/8 	 15/16	1.69	1  7/8 	0	0	0
13th		W	W36X135							39.7	35.6	0.6	  5/16	12	0.79			1  1/8 	135	7.56	54.1				7800	509	439	14	0	0	225	59.7	37.7	2.38	0	0	0			0								0			0	0		7	0																			0										68100					104	245	77.9	251	0	0	0	0	0		0	0	0	35  1/2 	12	  5/8 	 13/16	1.54	1 11/16	0	0	0
13th		W	W33X387							114	36	1.26	  5/8 	16.2	2.28			1  7/16	387	3.55	23.7				24300	1560	1350	14.6	0	0	1620	312	200	3.77	0	0	0			0								0			0	0		148	0																			0										459000					137	1260	287	778	0	0	0	0	0		0	0	0	36	16  1/4 	1  1/4 	2  1/4 	3.07	3  3/16	0	0	0
13th		W	W33X354							104	35.6	1.16	  5/8 	16.1	2.09			1  3/8 	354	3.85	25.7				22000	1420	1240	14.5	0	0	1460	282	181	3.74	0	0	0			0								0			0	0		115	0																			0										408000					135	1130	262	707	0	0	0	0	0		0	0	0	35  1/2 	16  1/8 	1  3/16	2  1/16	2.88	2 15/16	0	0	0
13th		W	W33X318							93.6	35.2	1.04	  9/16	16	1.89			1  5/16	318	4.23	28.7				19500	1270	1110	14.5	0	0	1290	250	161	3.71	0	0	0			0								0			0	0		84.4	0																			0										357000					133	1010	235	632	0	0	0	0	0		0	0	0	35  1/8 	16	1  1/16	1  7/8 	2.68	2  3/4 	0	0	0
13th		W	W33X291							85.7	34.8	0.96	  1/2 	15.9	1.73			1  5/16	291	4.6	31				17700	1160	1020	14.4	0	0	1160	226	146	3.68	0	0	0			0								0			0	0		65.1	0																			0										319000					131	904	214	573	0	0	0	0	0		0	0	0	34  7/8 	15  7/8 	 15/16	1  3/4 	2.52	2  5/8 	0	0	0
13th		W	W33X263							77.5	34.5	0.87	  7/16	15.8	1.57			1  1/4 	263	5.03	34.3				15900	1040	919	14.3	0	0	1040	202	131	3.66	0	0	0			0								0			0	0		48.7	0																			0										281000					130	807	193	515	0	0	0	0	0		0	0	0	34  1/2 	15  3/4 	  7/8 	1  9/16	2.36	2  7/16	0	0	0
13th		W	W33X241							71	34.2	0.83	  7/16	15.9	1.4			1  1/4 	241	5.66	35.9				14200	940	831	14.1	0	0	933	182	118	3.62	0	0	0			0								0			0	0		36.2	0																			0										251000					130	726	173	467	0	0	0	0	0		0	0	0	34  1/8 	15  7/8 	 13/16	1  3/8 	2.19	2  1/4 	0	0	0
13th		W	W33X221							65.2	33.9	0.775	  3/8 	15.8	1.28			1  3/16	221	6.2	38.5				12900	857	759	14.1	0	0	840	164	106	3.59	0	0	0			0								0			0	0		27.8	0																			0										224000					129	647	156	423	0	0	0	0	0		0	0	0	33  7/8 	15  3/4 	  3/4 	1  1/4 	2.06	2  1/8 	0	0	0
13th		W	W33X201							59.2	33.7	0.715	  3/8 	15.7	1.15			1  3/16	201	6.85	41.7				11600	773	686	14	0	0	749	147	95.2	3.56	0	0	0			0								0			0	0		20.8	0																			0										198000					128	577	140	382	0	0	0	0	0		0	0	0	33  5/8 	15  3/4 	 11/16	1  1/8 	1.94	2	0	0	0
13th		W	W33X169							49.5	33.8	0.67	  3/8 	11.5	1.22			1  3/16	169	4.71	44.7				9290	629	549	13.7	0	0	310	84.4	53.9	2.5	0	0	0			0								0			0	0		17.7	0																			0										82400					93.7	329	108	311	0	0	0	0	0		0	0	0	33  7/8 	11  1/2 	 11/16	1  1/4 	1.92	2  1/8 	0	0	0
13th		W	W33X152							44.8	33.5	0.635	  5/16	11.6	1.06			1  1/8 	152	5.48	47.2				8160	559	487	13.5	0	0	273	73.9	47.2	2.47	0	0	0			0								0			0	0		12.4	0																			0										71700					94.1	289	94.3	278	0	0	0	0	0		0	0	0	33  1/2 	11  5/8 	  5/8 	1  1/16	1.76	1 15/16	0	0	0
13th		W	W33X141							41.6	33.3	0.605	  5/16	11.5	0.96			1  1/8 	141	6.01	49.6				7450	514	448	13.4	0	0	246	66.9	42.7	2.43	0	0	0			0								0			0	0		9.7	0																			0										64400					93	257	84.6	253	0	0	0	0	0		0	0	0	33  1/4 	11  1/2 	  5/8 	 15/16	1.66	1 13/16	0	0	0
13th		W	W33X130							38.3	33.1	0.58	  5/16	11.5	0.855			1  1/8 	130	6.73	51.7				6710	467	406	13.2	0	0	218	59.5	37.9	2.39	0	0	0			0								0			0	0		7.37	0																			0										56600					92.7	228	75.3	230	0	0	0	0	0		0	0	0	33  1/8 	11  1/2 	  9/16	  7/8 	1.56	1  3/4 	0	0	0
13th		W	W33X118							34.7	32.9	0.55	  5/16	11.5	0.74			1  1/8 	118	7.76	54.5				5900	415	359	13	0	0	187	51.3	32.6	2.32	0	0	0			0								0			0	0		5.3	0																			0										48300					92.5	197	65.1	205	0	0	0	0	0		0	0	0	32  7/8 	11  1/2 	  9/16	  3/4 	1.44	1  5/8 	0	0	0
13th		W	W30X391							115	33.2	1.36	 11/16	15.6	2.44			1  1/2 	391	3.19	19.7				20700	1450	1250	13.4	0	0	1550	310	198	3.67	0	0	0			0								0			0	0		173	0																			0										366000					120	1140	267	722	0	0	0	0	0		0	0	0	33  1/4 	15  5/8 	1  3/8 	2  7/16	3.23	3  3/8 	0	0	0
