Edition	Footnote	Type	Designation							A 	d	tw	tw/2	bf	tf	T	k	k1	W	bf/2tf	h/tw	Fy'''	X1	X2x106	Ix	Zx	Sx	rx	y	yp	Iy	Zy	Sy	ry	x	xp	rz	maxf	Grip	eo	Qs36	Qs50	Qs36c	Qs50c	Qs36s	Qs50s	Astem	tan(a)	twstem	twstem/2	OD	ID	twall	J	t	Iy'	Sy'	ry'	sched	Anet36	d1A36	IxA36	SxA36	rxA36	y1A36	ryA36	AnetASTM	d1ASTM	IxASTM	SxASTM	rxASTM	y1ASTM	ryASTM	d/t	ry0	ry1_4	ry3_8	ry1_2	ry5_8	ry3_4	d/Af	rT	Fy''	Cw	Fy'	Cc50'	Cc36'	a	Wno	Sw	Qf	Qw	B	Ht / t	Ht	tnom	tdes	b / t	C	ro	H	ddet	bfdet	twdet	tfdet	kdes	kdet	B/t	Sz	Qs
ASD9		ST R	ST R 10x5x0.625	10	x	5	x	0.625		16.2									55.06						183	48.3	36.7	3.37			60	29.3	24	1.93																			0.625	157																																																								
ASD9		ST R	ST R 10x5x0.5625	10	x	5	x	0.5625		14.8									50.34						171	44.7	34.3	3.4			56.5	27.2	22.6	1.95																			0.5625	146																																																								
ASD9		ST R	ST R 10x5x0.5	10	x	5	x	0.5		13.4									45.45						158	40.8	31.6	3.44			52.5	25	21	1.98																			0.5	134																																																								
ASD9		ST R	ST R 10x5x0.375	10	x	5	x	0.375		10.3									35.13						128	32.3	25.5	3.51			42.9	19.9	17.1	2.04																			0.375	107																																																								
ASD9		ST R	ST R 10x5x0.3125	10	x	5	x	0.3125		8.73									29.72						110	27.6	22	3.55			37.2	17	14.9	2.07																			0.3125	91.5																																																								
ASD9		ST R	ST R 10x5x0.25	10	x	5	x	0.25		7.09									24.12						91.2	22.7	18.2	3.59			31.1	14	12.4	2.09																			0.25	75.2																																																								
ASD9		ST R	ST R 10x5x0.1875	10	x	5	x	0.1875		5.39									18.35						70.8	17.4	14.2	3.62			24.3	10.8	9.71	2.12																			0.1875	58																																																								
ASD9		ST R	ST R 10x4x0.5625	10	x	4	x	0.5625		13.7									46.51						146	39.4	29.3	3.27			32.9	20.1	16.4	1.55																			0.5625	93.8																																																								
ASD9		ST R	ST R 10x4x0.5	10	x	4	x	0.5		12.4									42.05						136	36.1	27.1	3.31			30.8	18.5	15.4	1.58																			0.5	86.9																																																								
ASD9		ST R	ST R 10x4x0.375	10	x	4	x	0.375		9.58									32.58						110	28.7	22	3.39			25.5	14.9	12.8	1.63																			0.375	70.4																																																								
ASD9		ST R	ST R 10x4x0.3125	10	x	4	x	0.3125		8.11									27.59						95.5	24.6	19.1	3.43			22.4	12.8	11.2	1.66																			0.3125	60.8																																																								
ASD9		ST R	ST R 10x4x0.25	10	x	4	x	0.25		6.59									22.42						79.9	20.2	15.9	3.47			18.8	10.6	9.39	1.69																			0.25	50.4																																																								
ASD9		ST R	ST R 10x4x0.1875	10	x	4	x	0.1875		5.02									17.08						61.7	15.6	12.3	3.51			14.8	8.2	7.39	1.72																			0.1875	39.1																																																								
ASD9		ST R	ST R 10x2x0.375	10	x	2	x	0.375		8.08									27.48						75.4	21.5	15.1	3.06			4.85	6.05	4.85	0.775																			0.375	16.5																																																								
ASD9		ST R	ST R 10x2x0.3125	10	x	2	x	0.3125		6.86									23.34						66.1	18.5	13.2	3.1			4.42	5.33	4.42	0.802																			0.3125	14.9																																																								
ASD9		ST R	ST R 10x2x0.25	10	x	2	x	0.25		5.59									19.02						55.5	15.4	11.1	3.15			3.85	4.5	3.85	0.83																			0.25	12.8																																																								
ASD9		ST R	ST R 10x2x0.1875	10	x	2	x	0.1875		4.27									14.53						43.7	11.9	8.74	3.2			3.14	3.56	3.14	0.858																			0.1875	10.3																																																								
ASD9		ST R	ST R 9x7x0.625	9	x	7	x	0.625		17.4									59.32						183	51	40.6	3.24			123	42.8	35.1	2.66																			0.625	248																																																								
ASD9		ST R	ST R 9x7x0.5625	9	x	7	x	0.5625		15.9									54.17						170	47.1	37.9	3.27			115	39.5	32.8	2.69																			0.5625	229																																																								
ASD9		ST R	ST R 9x7x0.5	9	x	7	x	0.5		14.4									48.84						157	42.9	34.8	3.3			106	36.1	30.2	2.71																			0.5	209																																																								
ASD9		ST R	ST R 9x7x0.375	9	x	7	x	0.375		11.1									37.69						126	33.8	27.9	3.37			85.1	28.4	24.3	2.77																			0.375	164																																																								
ASD9		ST R	ST R 9x7x0.3125	9	x	7	x	0.3125		9.36									31.84						108	28.8	24	3.4			73.5	24.3	21	2.8																			0.3125	140																																																								
ASD9		ST R	ST R 9x7x0.25	9	x	7	x	0.25		7.59									25.82						89.4	23.6	19.9	3.43			60.8	19.9	17.4	2.83																			0.25	114																																																								
ASD9		ST R	ST R 9x7x0.1875	9	x	7	x	0.1875		5.77									19.63						69.2	18.1	15.4	3.46			47.2	15.3	13.5	2.86																			0.1875	87.7																																																								
ASD9		ST R	ST R 9x6x0.625	9	x	6	x	0.625		16.2									55.06						161	45.8	35.8	3.15			84.5	34.4	18.2	2.28																			0.625	189																																																								
ASD9		ST R	ST R 9x6x0.5625	9	x	6	x	0.5625		14.8									50.34						150	42.3	33.4	3.19			79.2	31.9	26.5	2.31																			0.5625	175																																																								
ASD9		ST R	ST R 9x6x0.5	9	x	6	x	0.5		13.4									45.45						139	38.7	30.8	3.22			73.2	29.1	24.4	2.34																			0.5	160																																																								
ASD9		ST R	ST R 9x6x0.375	9	x	6	x	0.375		10.3									35.13						112	30.6	24.8	3.29			59.4	23.1	19.8	2.4																			0.375	127																																																								
ASD9		ST R	ST R 9x6x0.3125	9	x	6	x	0.3125		8.73									29.72						96.4	26.1	21.4	3.32			51.4	19.8	17.1	2.43																			0.3125	108																																																								
ASD9		ST R	ST R 9x6x0.25	9	x	6	x	0.25		7.09									24.12						79.8	21.4	17.7	3.36			42.7	16.2	14.2	2.46																			0.25	88.8																																																								
ASD9		ST R	ST R 9x6x0.1875	9	x	6	x	0.1875		5.39									18.35						61.9	16.5	13.8	3.39			33.3	12.5	11.1	2.48																			0.1875	68.2																																																								
ASD9		ST R	ST R 9x5x0.5625	9	x	5	x	0.5625		13.7									46.51						130	37.6	29	3.09			50.9	14.7	20.4	1.93																			0.5625	126																																																								
ASD9		ST R	ST R 9x5x0.5	9	x	5	x	0.5		12.4									42.05						121	34.4	26.8	3.12			47.4	22.7	18.9	1.96																			0.5	115																																																								
ASD9		ST R	ST R 9x5x0.375	9	x	5	x	0.375		9.58									32.58						97.8	27.3	21.7	3.2			38.8	18.1	15.5	2.01																			0.375	92.2																																																								
ASD9		ST R	ST R 9x5x0.3125	9	x	5	x	0.3125		8.11									27.59						84.6	23.4	18.8	3.23			33.8	15.6	13.5	2.04																			0.3125	79.2																																																								
ASD9		ST R	ST R 9x5x0.25	9	x	5	x	0.25		6.59									22.42						70.3	19.3	15.6	3.27			28.2	12.8	11.3	2.07																			0.25	65.2																																																								
ASD9		ST R	ST R 9x5x0.1875	9	x	5	x	0.1875		5.02									17.08						54.7	14.8	12.1	3.3			22.1	9.9	8.84	2.1																			0.1875	50.2																																																								
ASD9		ST R	ST R 9x3x0.5	9	x	3	x	0.5		10.4									35.24						84.4	25.9	18.8	2.86			13.7	11.3	9.11	1.15																			0.5	41.6																																																								
ASD9		ST R	ST R 9x3x0.375	9	x	3	x	0.375		8.08									27.48						69.9	20.9	15.5	2.94			11.7	9.29	7.79	1.2																			0.375	34.9																																																								
ASD9		ST R	ST R 9x3x0.3125	9	x	3	x	0.3125		6.86									23.34						61	18	13.6	2.98			10.4	8.08	6.92	1.23																			0.3125	30.5																																																								
ASD9		ST R	ST R 9x3x0.25	9	x	3	x	0.25		5.59									19.02						51.1	14.9	11.4	3.02			8.84	6.73	5.9	1.26																			0.25	25.6																																																								
ASD9		ST R	ST R 9x3x0.1875	9	x	3	x	0.1875		4.27									14.53						40.1	11.5	8.91	3.06			7.06	5.26	4.7	1.29																			0.1875	20.1																																																								
ASD9		ST R	ST R 8x6x0.5625	8	x	6	x	0.5625		13.7									46.51						112	35.2	27.9	2.86			70.8	28.8	23.6	2.28																			0.5625	147																																																								
ASD9		ST R	ST R 8x6x0.5	8	x	6	x	0.5		12.4									42.05						103	32.2	25.8	2.89			65.7	26.4	21.9	2.31																			0.5	135																																																								
ASD9		ST R	ST R 8x6x0.375	8	x	6	x	0.375		9.58									32.58						83.7	25.6	20.9	2.96			53.5	21	17.8	2.36																			0.375	107																																																								
ASD9		ST R	ST R 8x6x0.3125	8	x	6	x	0.3125		8.11									27.59						72.4	21.9	18.1	2.99			46.4	18	15.5	2.39																			0.3125	91.3																																																								
ASD9		ST R	ST R 8x6x0.25	8	x	6	x	0.25		6.59									22.42						60.1	18	15	3.02			38.6	14.8	12.9	2.42																			0.25	74.9																																																								
ASD9		ST R	ST R 8x6x0.1875	8	x	6	x	0.1875		5.02									17.08						46.8	13.9	11.7	3.05			30.1	11.4	10	2.45																			0.1875	57.6																																																								
ASD9		ST R	ST R 8x4x0.5625	8	x	4	x	0.5625		11.4									38.86						80.5	26.9	20.1	2.65			26.2	16.2	13.1	1.51																			0.5625	69																																																								
ASD9		ST R	ST R 8x4x0.5	8	x	4	x	0.5		10.4									35.24						75.1	24.7	18.8	2.69			24.6	15	12.3	1.54																			0.5	64.1																																																								
ASD9		ST R	ST R 8x4x0.375	8	x	4	x	0.375		8.08									27.48						61.9	19.9	15.5	2.77			20.6	12.2	10.3	1.6																			0.375	52.2																																																								
ASD9		ST R	ST R 8x4x0.3125	8	x	4	x	0.3125		6.86									23.34						53.9	17.1	13.5	2.8			18.1	10.5	9.05	1.62																			0.3125	45.2																																																								
ASD9		ST R	ST R 8x4x0.25	8	x	4	x	0.25		5.59									19.02						45.1	14.1	11.3	2.84			15.3	8.72	7.63	1.65																			0.25	37.5																																																								
ASD9		ST R	ST R 8x4x0.1875	8	x	4	x	0.1875		4.27									14.53						35.3	11	8.83	2.88			12	6.77	6.02	1.68																			0.1875	29.1																																																								
ASD9		ST R	ST R 8x3x0.5	8	x	3	x	0.5		9.36									31.84						61	21	15.3	2.55			12.1	10.1	8.05	1.14																			0.5	35.7																																																								
ASD9		ST R	ST R 8x3x0.375	8	x	3	x	0.375		7.33									24.93						51	17	12.7	2.64			10.4	8.31	6.92	1.19																			0.375	29.9																																																								
ASD9		ST R	ST R 8x3x0.3125	8	x	3	x	0.3125		6.23									21.21						44.7	14.7	11.2	2.68			9.25	7.24	6.16	1.22																			0.3125	26.3																																																								
ASD9		ST R	ST R 8x3x0.25	8	x	3	x	0.25		5.09									17.32						37.6	12.2	9.4	2.72			7.9	6.05	5.26	1.25																			0.25	22.1																																																								
ASD9		ST R	ST R 8x3x0.1875	8	x	3	x	0.1875		3.89									13.25						29.6	9.49	7.4	2.76			6.31	4.73	4.21	1.27																			0.1875	17.3																																																								
ASD9		ST R	ST R 8x2x0.375	8	x	2	x	0.375		6.58									22.37						40.1	14.2	10	2.47			3.85	4.83	3.85	0.765																			0.375	12.6																																																								
ASD9		ST R	ST R 8x2x0.3125	8	x	2	x	0.3125		5.61									19.08						35.5	12.3	8.87	2.51			3.52	4.28	3.52	0.792																			0.3125	11.4																																																								
ASD9		ST R	ST R 8x2x0.25	8	x	2	x	0.25		4.59									15.62						30.1	10.3	7.52	2.56			3.08	3.63	3.08	0.819																			0.25	9.84																																																								
ASD9		ST R	ST R 8x2x0.1875	8	x	2	x	0.1875		3.52									11.97						23.9	8.02	5.97	2.6			2.52	2.88	2.52	0.847																			0.1875	7.94																																																								
ASD9		ST R	ST R 7x5x0.5	7	x	5	x	0.5		10.4									35.24						63.5	23.1	18.1	2.48			37.2	18.2	14.9	1.9																			0.5	79.9																																																								
ASD9		ST R	ST R 7x5x0.375	7	x	5	x	0.375		8.08									27.48						52.2	18.5	14.9	2.54			30.8	14.6	12.3	1.95																			0.375	64.2																																																								
ASD9		ST R	ST R 7x5x0.3125	7	x	5	x	0.3125		6.86									23.34						45.5	15.9	13	2.58			26.9	12.6	10.8	1.98																			0.3125	55.3																																																								
ASD9		ST R	ST R 7x5x0.25	7	x	5	x	0.25		5.59									19.02						38	13.2	10.9	2.61			22.6	10.4	9.04	2.01																			0.25	45.6																																																								
ASD9		ST R	ST R 7x5x0.1875	7	x	5	x	0.1875		4.27									14.53						29.8	10.2	8.5	2.64			17.7	8.1	7.1	2.04																			0.1875	35.3																																																								
ASD9		ST R	ST R 7x4x0.5	7	x	4	x	0.5		9.36									31.84						52.9	19.8	15.1	2.38			21.5	13.3	10.8	1.52																			0.5	53																																																								
ASD9		ST R	ST R 7x4x0.375	7	x	4	x	0.375		7.33									24.93						44	16	12.6	2.45			18.1	10.8	9.06	1.57																			0.375	43.3																																																								
ASD9		ST R	ST R 7x4x0.3125	7	x	4	x	0.3125		6.23									21.21						38.5	13.8	11	2.49			16	9.36	7.98	1.6																			0.3125	37.5																																																								
ASD9		ST R	ST R 7x4x0.25	7	x	4	x	0.25		5.09									17.32						32.3	11.5	9.2	2.52			13.5	7.78	6.75	1.63																			0.25	31.2																																																								
ASD9		ST R	ST R 7x4x0.1875	7	x	4	x	0.1875		3.89									13.25						25.4	8.91	7.26	2.55			10.7	6.06	5.34	1.66																			0.1875	24.2																																																								
ASD9		ST R	ST R 7x3x0.5	7	x	3	x	0.5		8.36									28.43						42.3	16.6	12.1	2.25			10.5	8.84	6.99	1.12																			0.5	29.8																																																								
ASD9		ST R	ST R 7x3x0.375	7	x	3	x	0.375		6.58									22.37						35.7	13.5	10.2	2.33			9.08	7.32	6.05	1.18																			0.375	25.1																																																								
ASD9		ST R	ST R 7x3x0.3125	7	x	3	x	0.3125		5.61									19.08						31.5	11.8	9	2.37			8.11	6.4	5.41	1.2																			0.3125	22																																																								
ASD9		ST R	ST R 7x3x0.25	7	x	3	x	0.25		4.59									15.62						26.6	9.79	7.61	2.41			6.95	5.36	4.63	1.23																			0.25	18.5																																																								
ASD9		ST R	ST R 7x3x0.1875	7	x	3	x	0.1875		3.52									11.97						21.1	7.63	6.02	2.45			5.57	4.21	3.71	1.26																			0.1875	14.6																																																								
ASD9		ST R	ST R 7x2x0.25	7	x	2	x	0.25		4.09									13.91						20.9	8.1	5.98	2.26			2.69	3.19	2.69	0.812																			0.25	8.36																																																								
ASD9		ST R	ST R 7x2x0.1875	7	x	2	x	0.1875		3.14									10.7						16.7	6.36	4.77	2.31			2.21	2.54	2.21	0.839																			0.1875	6.74																																																								
ASD9		ST R	ST R 6x5x0.5	6	x	5	x	0.5		9.36									31.84						42.9	18.1	14.3	2.14			32.1	16	12.8	1.85																			0.5	62.9																																																								
ASD9		ST R	ST R 6x5x0.375	6	x	5	x	0.375		7.33									24.93						35.6	14.7	11.9	2.21			26.8	12.9	10.7	1.91																			0.375	50.9																																																								
ASD9		ST R	ST R 6x5x0.3125	6	x	5	x	0.3125		6.23									21.21						31.2	12.7	10.4	2.24			23.5	11.2	9.4	1.94																			0.3125	43.9																																																								
ASD9		ST R	ST R 6x5x0.25	6	x	5	x	0.25		5.09									17.32						26.2	10.5	8.74	2.27			19.8	9.26	7.91	1.97																			0.25	36.3																																																								
ASD9		ST R	ST R 6x5x0.1875	6	x	5	x	0.1875		3.89									13.25						20.6	8.15	6.87	2.3			15.6	7.2	6.23	2																			0.1875	28.1																																																								
ASD9		ST R	ST R 6x4x0.5	6	x	4	x	0.5		8.36									28.43						35.3	15.4	11.8	2.06			18.4	11.5	9.21	1.48																			0.5	42.1																																																								
ASD9		ST R	ST R 6x4x0.375	6	x	4	x	0.375		6.58									22.37						29.7	12.5	9.9	2.13			15.6	9.44	7.82	1.54																			0.375	34.6																																																								
ASD9		ST R	ST R 6x4x0.3125	6	x	4	x	0.3125		5.61									19.08						26.2	10.9	8.72	2.16			13.8	8.21	6.92	1.57																			0.3125	30.1																																																								
ASD9		ST R	ST R 6x4x0.25	6	x	4	x	0.25		4.59									15.62						22.1	9.06	7.36	2.19			11.7	6.84	5.87	1.6																			0.25	25																																																								
ASD9		ST R	ST R 6x4x0.1875	6	x	4	x	0.1875		3.52									11.97						17.4	7.06	5.81	2.23			9.32	5.34	4.66	1.63																			0.1875	19.5																																																								
ASD9		ST R	ST R 6x3x0.375	6	x	3	x	0.375		5.83									19.82						23.8	10.4	7.92	2.02			7.78	6.34	5.19	1.16																			0.375	20.3																																																								
ASD9		ST R	ST R 6x3x0.3125	6	x	3	x	0.3125		4.98									16.96						21.1	9.11	7.03	2.06			6.98	5.56	4.65	1.18																			0.3125	17.9																																																								
ASD9		ST R	ST R 6x3x0.25	6	x	3	x	0.25		4.09									13.91						17.9	7.62	5.98	2.09			6	4.67	4	1.21																			0.25	15.1																																																								
ASD9		ST R	ST R 6x3x0.1875	6	x	3	x	0.1875		3.14									10.7						14.3	5.97	4.76	2.13			4.83	3.68	3.22	1.24																			0.1875	11.9																																																								
ASD9		ST R	ST R 6x2x0.375	6	x	2	x	0.375		5.08									17.27						17.8	8.33	5.94	1.87			2.84	3.61	2.84	0.748																			0.375	8.72																																																								
ASD9		ST R	ST R 6x2x0.3125	6	x	2	x	0.3125		4.36									14.83						16	7.33	5.34	1.92			2.62	3.22	2.62	0.755																			0.3125	7.94																																																								
ASD9		ST R	ST R 6x2x0.25	6	x	2	x	0.25		3.59									12.21						13.8	6.18	4.6	1.96			2.31	2.75	2.31	0.802																			0.25	6.88																																																								
ASD9		ST R	ST R 6x2x0.1875	6	x	2	x	0.1875		2.77									9.42						11.1	4.88	3.7	2			1.9	2.2	1.9	0.829																			0.1875	5.56																																																								
ASD9		ST R	ST R 5x4x0.375	5	x	4	x	0.375		5.83									19.82						18.7	9.44	7.5	1.79			13.2	8.08	6.58	1.5																			0.375	26.3																																																								
ASD9		ST R	ST R 5x4x0.3125	5	x	4	x	0.3125		4.98									16.96						16.6	8.24	6.65	1.83			11.7	7.05	5.85	1.53																			0.3125	22.9																																																								
ASD9		ST R	ST R 5x4x0.25	5	x	4	x	0.25		4.09									13.91						14.1	6.89	5.65	1.86			9.98	5.9	4.99	1.56																			0.25	19.1																																																								
ASD9		ST R	ST R 5x4x0.1875	5	x	4	x	0.1875		3.14									10.7						11.2	5.39	4.49	1.89			7.96	4.63	3.98	1.59																			0.1875	14.9																																																								
ASD9		ST R	ST R 5x3x0.5	5	x	3	x	0.5		6.36									21.63						16.9	9.2	6.75	1.63			7.33	6.35	4.88	1.07																			0.5	18.2																																																								
ASD9		ST R	ST R 5x3x0.375	5	x	3	x	0.375		5.08									17.27						14.7	7.71	5.89	1.7			6.48	5.35	4.32	1.13																			0.375	15.6																																																								
ASD9		ST R	ST R 5x3x0.3125	5	x	3	x	0.3125		4.36									14.83						13.2	6.77	5.27	1.74			5.85	4.72	3.9	1.16																			0.3125	13.8																																																								
ASD9		ST R	ST R 5x3x0.25	5	x	3	x	0.25		3.59									12.21						11.3	5.7	4.52	1.77			5.05	3.99	3.37	1.19																			0.25	11.7																																																								
ASD9		ST R	ST R 5x3x0.1875	5	x	3	x	0.1875		2.77									9.42						9.06	4.49	3.62	1.81			4.08	3.15	2.72	1.21																			0.1875	9.21																																																								
ASD9		ST R	ST R 5x2x0.3125	5	x	2	x	0.3125		3.73									12.7						9.74	5.31	3.9	1.62			2.16	2.7	2.16	0.762																			0.3125	6.24																																																								
ASD9		ST R	ST R 5x2x0.25	5	x	2	x	0.25		3.09									10.51						8.48	4.51	3.39	1.66			1.92	2.32	1.92	0.789																			0.25	5.43																																																								
ASD9		ST R	ST R 5x2x0.1875	5	x	2	x	0.1875		2.39									8.15						6.89	3.59	2.75	1.7			1.6	1.86	1.6	0.816																			0.1875	4.4																																																								
ASD9		ST R	ST R 4x3x0.3125	4	x	3	x	0.3125		3.73									12.7						7.45	4.75	3.72	1.41			4.71	3.88	3.14	1.12																			0.3125	9.89																																																								
ASD9		ST R	ST R 4x3x0.25	4	x	3	x	0.25		3.09									10.51						6.45	4.03	3.23	1.45			4.1	3.3	2.74	1.15																			0.25	8.41																																																								
ASD9		ST R	ST R 4x3x0.1875	4	x	3	x	0.1875		2.39									8.15						5.23	3.2	2.62	1.48			3.34	2.62	2.23	1.18																			0.1875	6.67																																																								
ASD9		ST R	ST R 4x2x0.3125	4	x	2	x	0.3125		3.11									10.58						5.32	3.6	2.66	1.31			1.71	2.17	1.71	0.743																			0.3125	4.58																																																								
ASD9		ST R	ST R 4x2x0.25	4	x	2	x	0.25		2.59									8.81						4.69	3.09	2.35	1.35			1.54	1.88	1.54	0.77																			0.25	4.01																																																								
ASD9		ST R	ST R 4x2x0.1875	4	x	2	x	0.1875		2.02									6.87						3.87	2.48	1.93	1.38			1.29	1.52	1.29	0.798																			0.1875	3.26																																																								
ASD9		ST R	ST R 3.5x2.5x0.25	3.5	x	2.5	x	0.25		2.59									8.81						3.97	2.88	2.27	1.24			2.33	2.28	1.86	0.948																			0.25	4.99																																																								
ASD9		ST R	ST R 3.5x2.5x0.1875	3.5	x	2.5	x	0.1875		2.02									6.87						3.26	2.31	1.86	1.27			1.93	1.83	1.54	0.977																			0.1875	4.02																																																								
ASD9		ST R	ST R 3x2x0.25	3	x	2	x	0.25		2.09									7.11						2.21	1.92	1.47	1.03			1.15	1.44	1.15	0.742																			0.25	2.63																																																								
ASD9		ST R	ST R 3x2x0.1875	3	x	2	x	0.1875		1.64									5.59						1.86	1.57	1.24	1.06			0.977	1.18	0.977	0.771																			0.1875	2.16																																																								
ASD9		ST S	ST S 16x16x0.625	16	x	16	x	0.625		37.4									127.37						1450	214	182	6.23				214																					0.625	2320																																																								
ASD9		ST S	ST S 16x16x0.5	16	x	16	x	0.5		30.4									103.3						1200	175	150	6.29				175																					0.5	1890																																																								
ASD9		ST S	ST S 16x16x0.375	16	x	16	x	0.375		23.1									78.52						931	134	116	6.35				134																					0.375	1450																																																								
ASD9		ST S	ST S 16x16x0.3125	16	x	16	x	0.3125		19.4									65.87						789	113	98.6	6.38				113																					0.3125	1220																																																								
ASD9		ST S	ST S 14x14x0.625	14	x	14	x	0.625		32.4									110.36						952	161	136	5.42				161																					0.625	1530																																																								
ASD9		ST S	ST S 14x14x0.5	14	x	14	x	0.5		26.4									89.68						791	132	113	5.48				132																					0.5	1250																																																								
ASD9		ST S	ST S 14x14x0.375	14	x	14	x	0.375		20.1									68.31						615	102	87.9	5.54				102																					0.375	963																																																								
ASD9		ST S	ST S 14x14x0.3125	14	x	14	x	0.3125		16.9									57.36						522	86.1	74.6	5.57				86.1																					0.3125	812																																																								
ASD9		ST S	ST S 12x12x0.625	12	x	12	x	0.625		27.4									93.34						580	116	96.7	4.6				116																					0.625	943																																																								
ASD9		ST S	ST S 12x12x0.5	12	x	12	x	0.5		22.4									76.07						485	95.4	80.9	4.66				95.4																					0.5	777																																																								
ASD9		ST S	ST S 12x12x0.375	12	x	12	x	0.375		17.1									58.1						380	73.9	63.4	4.72				73.9																					0.375	599																																																								
ASD9		ST S	ST S 12x12x0.3125	12	x	12	x	0.3125		14.4									48.86						324	62.6	54	4.75				62.6																					0.3125	506																																																								
ASD9		ST S	ST S 12x12x0.25	12	x	12	x	0.25		11.6									39.43						265	50.8	44.1	4.78				50.8																					0.25	410																																																								
ASD9		ST S	ST S 12x12x0.1875	12	x	12	x	0.1875		8.77									29.84						203	38.7	33.8	4.81				38.7																					0.1875	312																																																								
ASD9		ST S	ST S 10x10x0.625	10	x	10	x	0.625		22.4									76.33						321	77.6	64.2	3.78				77.6																					0.625	529																																																								
ASD9		ST S	ST S 10x10x0.5625	10	x	10	x	0.5625		20.4									69.48						297	71.3	59.4	3.81				71.3																					0.5625	485																																																								
ASD9		ST S	ST S 10x10x0.5	10	x	10	x	0.5		18.4									62.46						271	64.6	54.2	3.84				64.6																					0.5	439																																																								
ASD9		ST S	ST S 10x10x0.375	10	x	10	x	0.375		14.1									47.9						214	50.4	42.9	3.9				50.4																					0.375	341																																																								
ASD9		ST S	ST S 10x10x0.3125	10	x	10	x	0.3125		11.9									40.35						183	42.8	36.7	3.93				42.8																					0.3125	289																																																								
ASD9		ST S	ST S 10x10x0.25	10	x	10	x	0.25		9.59									32.63						151	34.9	30.1	3.96				34.9																					0.25	235																																																								
ASD9		ST S	ST S 10x10x0.1875	10	x	10	x	0.1875		7.27									24.73						116	26.6	23.2	3.99				26.6																					0.1875	179																																																								
ASD9		ST S	ST S 9x9x0.625	9	x	9	x	0.625		19.9									67.82						227	61.5	50.4	3.37				61.5																					0.625	377																																																								
ASD9		ST S	ST S 9x9x0.5625	9	x	9	x	0.5625		18.2									61.83						211	56.6	46.8	3.4				56.6																					0.5625	347																																																								
ASD9		ST S	ST S 9x9x0.5	9	x	9	x	0.5		16.4									55.66						193	51.4	42.9	3.43				51.4																					0.5	315																																																								
ASD9		ST S	ST S 9x9x0.375	9	x	9	x	0.375		12.6									42.79						154	40.3	34.1	3.49				40.3																					0.375	246																																																								
ASD9		ST S	ST S 9x9x0.3125	9	x	9	x	0.3125		10.6									36.1						132	34.3	29.3	3.53				34.3																					0.3125	209																																																								
ASD9		ST S	ST S 9x9x0.25	9	x	9	x	0.25		8.59									29.23						109	28	24.1	3.56				28																					0.25	170																																																								
ASD9		ST S	ST S 9x9x0.1875	9	x	9	x	0.1875		6.52									22.18						83.8	21.4	18.6	3.59				21.4																					0.1875	130																																																								
ASD9		ST S	ST S 8x8x0.625	8	x	8	x	0.625		17.4									59.32						153	47.2	38.3	2.96				47.2																					0.625	258																																																								
ASD9		ST S	ST S 8x8x0.5625	8	x	8	x	0.5625		15.9									54.17						143	43.6	35.7	3				43.6																					0.5625	238																																																								
ASD9		ST S	ST S 8x8x0.5	8	x	8	x	0.5		14.4									48.85						131	39.7	32.9	3.03				39.7																					0.5	217																																																								
ASD9		ST S	ST S 8x8x0.375	8	x	8	x	0.375		11.1									37.69						106	31.3	26.4	3.09				31.3																					0.375	170																																																								
ASD9		ST S	ST S 8x8x0.3125	8	x	8	x	0.3125		9.36									31.84						90.9	26.7	22.7	3.12				26.7																					0.3125	145																																																								
ASD9		ST S	ST S 8x8x0.25	8	x	8	x	0.25		7.59									25.82						75.1	21.9	18.8	3.15				21.9																					0.25	118																																																								
ASD9		ST S	ST S 8x8x0.1875	8	x	8	x	0.1875		5.77									19.63						58.2	16.8	14.6	3.18				16.8																					0.1875	90.6																																																								
ASD9		ST S	ST S 7x7x0.5625	7	x	7	x	0.5625		13.7									46.51						91.4	32.3	26.1	2.59				32.3																					0.5625	154																																																								
ASD9		ST S	ST S 7x7x0.5	7	x	7	x	0.5		12.4									42.05						84.6	29.6	24.2	2.62				29.6																					0.5	141																																																								
ASD9		ST S	ST S 7x7x0.375	7	x	7	x	0.375		9.58									32.58						68.7	23.5	19.6	2.68				23.5																					0.375	112																																																								
ASD9		ST S	ST S 7x7x0.3125	7	x	7	x	0.3125		8.11									27.59						59.5	20.1	17	2.71				20.1																					0.3125	95.6																																																								
ASD9		ST S	ST S 7x7x0.25	7	x	7	x	0.25		6.59									22.42						49.4	16.5	14.1	2.74				16.5																					0.25	78.3																																																								
ASD9		ST S	ST S 7x7x0.1875	7	x	7	x	0.1875		5.02									17.08						38.5	12.7	11	2.77				12.7																					0.1875	60.2																																																								
ASD9		ST S	ST S 6x6x0.5625	6	x	6	x	0.5625		11.4									38.86						54.1	22.7	18	2.18				22.7																					0.5625	92.9																																																								
ASD9		ST S	ST S 6x6x0.5	6	x	6	x	0.5		10.4									35.24						50.5	20.9	16.8	2.21				20.9																					0.5	85.6																																																								
ASD9		ST S	ST S 6x6x0.375	6	x	6	x	0.375		8.08									27.48						41.6	16.8	13.9	2.27				16.8																					0.375	68.5																																																								
ASD9		ST S	ST S 6x6x0.3125	6	x	6	x	0.3125		6.86									23.34						36.3	14.4	12.1	2.3				14.4																					0.3125	58.9																																																								
