Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_30_40_R05,3469255.762198881,21.439999999999998,-938596.2186524888,0.42857142857142855,-20613.50968386872,3469255.762198881,17947.95188323311,-2799.212736620726,-13537.956712252286,23342.732426097806,8230.0,5,32763.40378754816,40,30,0.5861297684020874,623159.8829705539,-1598.9071044325328,51.0,814.0232443254026,5207999.999999999,254792.82603902783,3,0.6661397392854995,29335.239531089504,28.67575660624089,40.44,2678949.926138998,23.988214411706238,"[30, 173]",748.1987435661121,-0.08729733971141111,7.0,0.5123980558942398,0.6661397392854995,2.4399999999999977,5207999.999999999
TX_30_40_R06,3375515.5714090727,22.36,-941162.3661646823,0.42857142857142855,-18058.44824034013,3375515.5714090727,14582.276445015385,-2780.0609637546986,-28970.535911195904,18371.93462054925,5900.0,5,32695.08164134484,40,30,0.5702923899890374,634386.0366664166,-1452.003508619215,34.7,569.3927143677972,5207999.999999999,187023.59416563538,3,0.6481404707006669,25600.041344482906,32.26584070529916,42.86,2695851.2607301157,27.654691844843274,"[33, 118]",527.298460848137,-0.10970973809401804,7.0,0.4986232517757776,0.6481404707006669,1.8599999999999994,5207999.999999999
TX_30_40_R07,3450725.0110929813,23.549999999999997,-989571.7204050855,0.42857142857142855,-18079.336068558234,3450725.0110929813,17939.93000671752,-2608.7513460094756,-11787.906784536674,22748.821931621093,7800.0,5,32739.180809785714,40,30,0.5829990033047532,641462.5626499284,-1386.2208367409107,39.7,675.6375579210609,5207999.999999999,239865.37862999836,3,0.6625816073527231,25857.23286192507,33.670155936297114,45.55,2700961.7993326574,28.72317364621214,"[36, 135]",624.5803554887934,-0.0895558800368907,7.0,0.5096750246682409,0.6625816073527231,1.5499999999999972,5207999.999999999
TX_30_40_R08,3504141.18329933,24.200000000000003,-1014514.0706380971,0.42857142857142855,-18205.986366111287,3504141.18329933,19953.24215615198,-2304.8583159606605,-6856.785262946986,25165.081168837147,9800.0,5,32788.01423979172,40,30,0.5920236503156121,690655.4672518076,-1352.0530608036202,43.8,728.7910039117097,5207999.999999999,285181.94641946635,3,0.672838168836277,26042.151259422706,34.52990093698495,48.2,2715592.750105259,29.542963678947224,"[40, 149]",675.3974439731303,-0.07963030374319335,7.0,0.517524350583849,0.672838168836277,0.20000000000000284,5207999.999999999
TX_30_45_P01,3722828.276971741,16.31338028169014,-620775.2287048805,0.42857142857142855,-21927.002315894395,3722828.276971741,7253.374949784665,-3208.785682895364,8353.789719806076,9480.669417076339,2405.1594776995307,5,31921.382419224516,45,30,0.520941441114293,468073.76110708015,-2015.8937495357204,35.5,465.083076585385,6288000.0,95347.31200407866,4,0.5920528430298571,26946.210837691433,20.384894429362824,29.25,2885026.379341843,16.989526516697815,"[1, 12, 1.25, 12, 0.5, 17]",426.93214214391617,-0.29980649870431214,7.0,0.45102967860238674,0.5920528430298571,2.0,6288000.0
TX_30_45_P02,3724598.196040949,17.53658536585366,-647252.2627051445,0.42857142857142855,-20167.243404148543,3724598.196040949,7652.705523389182,-3400.120962188232,7661.129238704326,9818.455405944893,2460.7244664634145,5,32082.734793372103,45,30,0.5211891087803714,492125.9704975848,-1884.3761948756273,30.75,435.76391052132607,6288000.0,95867.64161920447,3,0.5923343187088023,25022.61021255457,22.53159375726775,31.25,2898656.8154566004,18.99928433179504,"[0.75, 12, 1, 12, 0.5, 19.5]",402.78914667235574,-0.28894362963807496,7.0,0.4512425491933835,0.5923343187088023,2.0,6288000.0
TX_30_45_P03,3771102.7091806247,18.583414634146337,-756970.6182064428,0.42857142857142855,-20917.418625251918,3771102.7091806247,8923.244175711563,-3246.901105767465,11380.85705121846,11323.191649975206,3115.5955602134145,5,32508.7204544793,45,30,0.5276965612576068,570574.2547934256,-1802.9779056506532,30.75,450.76519887485836,6288000.0,110488.91585406542,3,0.5997300746152393,26337.0981213412,25.119933123139695,34.12,2979057.2459814143,21.3767659500435,"[0.75, 12, 0.875, 12, 0.5, 22.5]",417.4272290095128,-0.24776555294192357,7.0,0.4568357106934138,0.5997300746152393,1.9949999999999974,6288000.0
TX_30_45_P04,3913937.0521862754,20.780201342281877,-770119.8648681438,0.42857142857142855,-19417.15052180457,3913937.0521862754,12829.621738902635,-2688.4543957970936,-40312.046762739126,16468.27148892341,4898.163940156599,5,32172.173866822704,45,30,0.5476836041588986,562283.2378456336,-1679.151780667934,37.25,613.5381282931555,6288000.0,168798.17004173828,3,0.622445459953288,25058.738881864167,26.84148014523179,37.25,2972049.346885584,22.47788195367591,"[0.75, 14, 1, 14, 0.5, 25.5]",570.7664879343557,-0.18252539955314034,7.0,0.47401459278990715,0.622445459953288,2.0,6288000.0
TX_30_45_P05,4067950.525022327,22.451171875,-825041.543684105,0.42857142857142855,-19132.46972856284,4067950.525022327,18631.886096527465,-2644.535877775458,-11000.507384876226,24122.26779982884,8311.151184082031,5,32153.859945687575,45,30,0.5692349609556975,586579.1199680226,-1538.1708702420674,48.0,844.700988724918,6288000.0,261489.3248447127,3,0.6469386967274693,25497.8942872481,28.55716771001011,40.75,3024727.5272157406,23.70457238712136,"[1, 15, 1.25, 15, 0.5, 28.5]",786.0038895555073,-0.13060360770212628,7.0,0.4925380041449573,0.6469386967274693,2.0,6288000.0
TX_30_45_P06,3946717.9125579465,22.5,-820521.9883721162,0.42857142857142855,-16801.13215189772,3946717.9125579465,14818.221232180957,-2900.5285800701217,-39192.98351499239,18598.320813118607,5983.453125,5,32376.246528930336,45,30,0.5522706834901204,596205.3096222648,-1663.4764900939626,33.75,571.8079369118886,6288000.0,185579.187684818,3,0.6276587011065436,22120.483790151156,32.52546810308523,43.0,3013772.9602511893,27.891199716493496,"[0.75, 12, 0.75, 12, 0.5, 31.5]",531.2866202531325,-0.16220413691497404,7.0,0.47795719177203194,0.6276587011065436,2.0,6288000.0
