Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_30_55_R02,55,30,34.12,"[24, 104]",7,4,2.12,5,-110.7379181,94916.46326,3555729.779,13993.09295,-2507.830023,2.60E-08,-3.22E-08,-0.444597543,82905.75146,0.554889045,0.415665485,0.554889045,0.428571429,0.488241383
TX_30_55_R03,55,30,37.25,"[27, 146]",7,4,2.25,5,-5606.269653,104423.6343,3651616.763,13897.32658,-2199.989668,3.09E-09,-4.98E-09,-0.293499669,138803.4952,0.580268717,0.434475402,0.580268717,0.428571429,0.510572705
TX_30_55_R04,55,30,40.75,"[30, 173]",7,4,2.75,5,-8014.166068,109541.9091,3723348.128,13848.29253,-2015.342931,5.28E-09,-9.05E-09,-0.219144033,198891.02,0.598773941,0.448190384,0.598773941,0.428571429,0.526855269
TX_30_55_R05,55,30,43,"[33, 118]",7,4,2,5,-6898.144663,105063.4986,3700592.907,13758.59143,-2270.395864,1.75E-08,-1.46E-08,-0.272731295,142819.1041,0.58171178,0.435544915,0.58171178,0.428571429,0.511842442
TX_30_55_R06,55,30,45.62,"[36, 135]",7,4,1.62,5,-14998.89162,124901.5983,3754965.725,13626.98782,-2169.795546,2.79E-08,-2.23E-08,-0.228030676,179983.6227,0.593567947,0.444332008,0.593567947,0.428571429,0.522274566
TX_30_55_R07,55,30,48.25,"[40, 149]",7,4,0.25,5,-15136.18987,125965.4392,3793039.032,13621.92173,-2103.762295,9.83E-09,-1.19E-08,-0.203721455,209042.6387,0.601387852,0.450127661,0.601387852,0.428571429,0.529155223
TX_30_60_P01,60,30,31.62,"[0.875, 12, 1.25, 12, 0.5, 19.5]",7,4,1.995,5,-10171.58199,114317.4107,3871969.593,13781.80286,-2666.762393,4.45E-09,-2.58E-09,-0.574019907,115599.288,0.558253637,0.415038213,0.558253637,0.428571429,0.491201854
TX_30_60_P02,60,30,34.25,"[0.75, 12, 1, 12, 0.5, 22.5]",7,4,2,5,-96.99089485,92611.24873,3865455.77,13898.72061,-2682.731468,2.78E-09,-8.90E-09,-0.525884482,121531.0071,0.560677881,0.416819263,0.560677881,0.428571429,0.493334922
TX_30_60_P03,60,30,37.25,"[0.75, 14, 1, 14, 0.5, 25.5]",7,4,2,5,-3524.881705,98843.51707,3930357.332,13789.63958,-2519.740259,4.17E-09,-7.30E-09,-0.407350794,168798.17,0.576899067,0.428736693,0.576899067,0.428571429,0.507607784
TX_30_60_P04,60,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,4,2,5,-7498.653478,105631.1186,4041678.049,13724.86284,-2295.109927,5.44E-09,-2.07E-09,-0.291625377,261489.3248,0.599354515,0.445234327,0.599354515,0.428571429,0.52736611
TX_30_60_P05,60,30,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7,4,2,5,-5364.637153,100831.9348,4003275.466,13682.956,-2510.565298,5.36E-09,-2.71E-09,-0.362885726,185579.1877,0.581678577,0.432248117,0.581678577,0.428571429,0.511813227
