Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_24_90_P03,9296351.26623668,25.71468085106383,-2150702.885026158,0.4545429751953418,-58728.9249197757,9296351.26623668,27360.784612006035,-2474.028008302339,-8728.672109878069,37828.670608232555,14117.96292109929,4,33945.38258160962,90,24,0.5109799810860853,2081960.8871497218,-6756.491714327549,58.75,1189.911626939576,16008000.0,426079.95819965116,5,0.5807315883456197,60665.389361042464,31.791159739758974,46.12,5699447.491571378,25.06579431591366,"[1.125, 16, 1.5, 16, 0.5, 33.5]",1091.5586502932142,-0.5571468568311212,7.3333,0.4150667312036552,0.5807315883456197,1.9949999999999974,16008000.0
TX_24_90_P04,9294362.416079802,27.337703349282293,-2192338.454501079,0.4545429751953418,-55705.34380274459,9294362.416079802,28138.979900187678,-2466.918738847788,-9160.743302336898,38704.59348915924,13787.08091606858,4,34011.128508111804,90,24,0.5108706626463622,2125351.379366377,-6783.979020831293,52.25,1125.1351491791631,16008000.0,425034.38136642653,5,0.580607347331322,57458.79241918721,34.39995054584864,48.62,5701817.37933052,27.218471095310413,"[0.875, 16, 1.25, 16, 0.5, 36.5]",1033.8192693356632,-0.5416224007209238,7.3333,0.41497950340961454,0.580607347331322,1.9949999999999974,16008000.0
TX_24_90_R01,9287845.149052355,22.61,-2188830.4254992367,0.4545429751953418,-67977.64390527798,9287845.149052355,24937.29039574381,-2701.6140011911734,-10839.268231628595,35849.54479352404,13100.0,4,35054.74915801388,90,24,0.5105124368342081,2080813.1724997908,-7048.143759311451,76.9,1267.0986567889965,16008000.0,421624.29019513365,5,0.5802002217049198,71502.19145276738,28.29262315246371,41.61,5636392.03053036,22.36948432131731,"[30, 261]",1114.7905797711874,-0.5566180156610218,7.3333,0.414693666478153,0.5802002217049198,3.6099999999999994,16008000.0
TX_24_90_R02,9228530.018591883,23.43,-2273309.732629113,0.4545429751953418,-65156.90043520803,9228530.018591883,24558.501145690003,-2608.018275321123,-10683.234256822649,34439.66227025562,12900.0,4,35093.30974094453,90,24,0.5072521421903418,2170969.5219491133,-7051.710105442426,65.2,1122.6802085146223,16008000.0,391701.5786710697,5,0.5764948787226314,68225.22642460822,30.676288767770735,43.93,5615734.923391266,24.48346278548752,"[33, 221]",1003.0648589564283,-0.569299785059212,7.3333,0.41209219951222076,0.5764948787226314,2.9299999999999997,16008000.0
TX_24_90_R03,9347997.010067582,24.490000000000002,-2336355.1891508363,0.4545429751953418,-62219.78850697258,9347997.010067582,28216.637629996254,-2647.1134087032015,-9164.50835759069,39171.99440804623,15600.0,4,35090.547700051495,90,24,0.5138187229160909,2231353.0591310984,-7084.5552195233795,68.1,1215.5519504967656,16008000.0,454054.86709667137,5,0.5839578342121178,65145.08491835479,32.225685123566805,46.49,5646057.1895635035,25.840601147942753,"[36, 231]",1091.9497370997758,-0.5040097395792683,7.3333,0.41733183111094824,0.5839578342121178,2.490000000000002,16008000.0
TX_24_90_R04,9257901.44154721,24.67,-2324681.553842567,0.4545429751953418,-58501.60943036543,9257901.44154721,26117.06439300307,-2341.9960637731847,-7224.2728234164,35123.30075010907,14900.0,4,34993.81185952062,90,24,0.5088665615164156,2226183.8460622476,-6910.38036564834,58.5,1037.9792166163709,16008000.0,406270.84814335883,5,0.5783296752590711,61087.81526880233,33.838154163245036,48.67,5667174.000691078,27.548373916168792,"[40, 199]",948.0437746517716,-0.5584282598371291,7.3333,0.41338038325163995,0.5783296752590711,0.6700000000000017,16008000.0
TX_24_95_P01,9808081.586260982,25.16470588235294,-2359756.8063498517,0.4545429751953418,-67410.9013281137,9808081.586260982,27144.208211806552,-2436.1470036351307,-8237.36147781908,37938.23779717545,14115.098713235293,4,34280.27468043919,95,24,0.5050347603433017,2288983.174377923,-6918.926527773096,63.75,1269.076337444794,17088000.0,438303.2691820479,5,0.5739748119300668,69493.1821692694,29.89437016339121,44.5,5918724.82574524,23.357729779318348,"[1.25, 16, 1.75, 16, 0.5, 31.5]",1162.10815298672,-0.6385392434828174,7.3333,0.4084270936307334,0.5739748119300668,2.0,17088000.0
TX_24_95_P02,9783999.322991695,25.71468085106383,-2297423.334258021,0.4545429751953418,-62903.79689906828,9783999.322991695,27360.784612006035,-2474.028008302339,-8728.672109878069,37828.670608232555,14117.96292109929,4,34001.58670972523,95,24,0.5037947237518682,2229938.689180044,-6840.162016679037,58.75,1189.911626939576,17088000.0,426079.95819965116,5,0.5725655034522293,64804.957129159666,31.791159739758974,46.12,5980871.508841714,25.06579431591366,"[1.125, 16, 1.5, 16, 0.5, 33.5]",1091.5586502932142,-0.645731074831394,7.3333,0.40744299334105605,0.5725655034522293,1.9949999999999974,17088000.0
TX_24_95_P03,9851336.391538942,27.328333333333337,-2446027.9648774583,0.4545429751953418,-61626.348328423046,9851336.391538942,30022.436869057747,-2533.089961649713,-8819.63138834349,41343.382311861795,15303.963125000002,4,34371.478535284776,95,24,0.5072620236490895,2376608.673624073,-6992.656364784516,56.25,1209.3182834382678,17088000.0,461052.8973827399,5,0.5765061090554157,63424.85353297625,34.18734577824834,48.88,5940829.027478252,27.022899473137866,"[1, 16, 1.375, 16, 0.5, 36.5]",1110.9998354877341,-0.583979870039278,7.3333,0.4101946628134133,0.5765061090554157,2.0050000000000026,17088000.0
TX_24_95_R01,9899986.733403396,24.03,-2383789.1061133603,0.4545429751953418,-67944.58202602869,9899986.733403396,29053.7162869022,-2814.417063020604,-10172.042937002536,41296.04542597083,15900.0,4,35087.84997521137,95,24,0.5097671122872743,2278466.158760102,-7150.026648864256,77.5,1356.6267680974865,17088000.0,487905.71831295814,5,0.5793531562150863,71081.85039403423,30.440240747927888,44.53,5962428.496980872,24.176826271185273,"[33, 263]",1201.7175439412147,-0.5659842934061894,7.3333,0.41218271580437815,0.5793531562150863,3.530000000000001,17088000.0
