Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,I,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,maxmoment,ybar1,girders,Sb1,mindeflection,girderspacing,df1,df2,haunch,TandemMoment
TX_28_35_R08_LK4,3424236.653443931,24.200000000000003,-375457.2162797611,0.5384792892581054,-5963.086974723137,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,36123.11537316345,35,28,0.7157963367827266,227637.51549491385,-1809.331237245389,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,9293.844094145014,35.601980852797915,48.2,2601916.01574433,29.40911399146812,"[40, 149]",673.8087024119781,-0.057613549156075555,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_35_R08_LK5,3424236.653443931,24.200000000000003,-591110.4029290308,0.5384792892581054,-9359.607420766975,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,36541.670554264376,35,28,0.7157963367827266,357229.92250019894,-1839.505037029041,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,14634.375871587206,35.601980852797915,48.2,2581751.37982531,29.40911399146812,"[40, 149]",673.8087024119781,-0.05703053285558771,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_35_R08_LK6,3424236.653443931,24.200000000000003,-814606.0763176238,0.5384792892581054,-12723.467804434105,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,36983.98020765181,35,28,0.7157963367827266,485576.20292435656,-1783.4008004064763,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,20169.106806834297,35.601980852797915,48.2,2568121.9965538736,29.40911399146812,"[40, 149]",673.8087024119781,-0.05663330125265356,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_35_R08_LK7,3424236.653443931,24.200000000000003,-992364.0485490051,0.5384792892581054,-15270.981000220812,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37340.73819695035,35,28,0.7157963367827266,582775.1966478099,-2116.5523389489945,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,24571.162469429604,35.601980852797915,48.2,2559992.950658181,29.40911399146812,"[40, 149]",673.8087024119781,-0.05639783879584723,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_35_R08_LK8,3424236.653443931,24.200000000000003,-1105783.374624659,0.5384792892581054,-16835.598270030445,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37570.4203180242,35,28,0.7157963367827266,642472.3259579777,-2359.097412190317,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,27379.911092691716,35.601980852797915,48.2,2555627.797779605,29.40911399146812,"[40, 149]",673.8087024119781,-0.0562722216716441,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_35_R08_LK9,3424236.653443931,24.200000000000003,-1168186.3965674117,0.5384792892581054,-17676.21571091475,3424236.653443931,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,37697.43357234514,35,28,0.7157963367827266,674545.6317676345,-2489.4095057719596,43.8,739.720367432748,4209230.769230769,285181.94641946635,3,0.8135065148898228,28925.27607493104,35.601980852797915,48.2,2553440.074942036,29.40911399146812,"[40, 149]",673.8087024119781,-0.05620956547986978,8.667,0.6207369714473236,0.8135065148898228,0.20000000000000284,4209230.769230769
TX_28_40_P01_LK0,3922177.2985956073,23.866197183098592,-32950.89370739971,0.5384792892581054,-1302.2630631559496,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,34621.17370759227,40,28,0.6626507323866713,29131.73173468689,-1731.167529246472,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,1470.0878679086468,21.08153642667244,29.25,2909595.057945748,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.23720677889043423,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK1,3922177.2985956073,23.866197183098592,-67750.15827075402,0.5384792892581054,-2670.723918037385,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,34662.454607658205,40,28,0.6626507323866713,59765.45560804573,-1879.9126285104337,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,3024.6312683748833,21.08153642667244,29.25,2895924.084229277,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.23586111359782266,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK2,3922177.2985956073,23.866197183098592,-133035.5013956503,0.5384792892581054,-5211.854221322072,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,34745.99174195822,40,28,0.6626507323866713,116649.99378908111,-2155.7431157015158,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,5941.041345611927,21.08153642667244,29.25,2870426.5391275296,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.2333408436149759,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK3,3922177.2985956073,23.866197183098592,-240879.64283431345,0.5384792892581054,-9322.68655939627,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,34904.77420489091,40,28,0.6626507323866713,208673.0855883505,-2600.656578240338,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,10758.629758742753,21.08153642667244,29.25,2828567.337399499,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.22919135822593448,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK4,3922177.2985956073,23.866197183098592,-386635.7352333474,0.5384792892581054,-14659.579444670058,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,35174.66805794168,40,28,0.6626507323866713,328142.0273737285,-3174.737742822773,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,17269.81915394509,21.08153642667244,29.25,2774826.15969067,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.2236155583084814,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK5,3922177.2985956073,23.866197183098592,-538072.5179130757,0.5384792892581054,-19824.254599919255,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,35567.79512158376,40,28,0.6626507323866713,443755.47663747985,-3724.223493481679,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,24034.78628448141,21.08153642667244,29.25,2720368.4348101234,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.2179452398025855,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK6,3922177.2985956073,23.866197183098592,-659536.9653762722,0.5384792892581054,-23584.963715918635,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,35987.896153355054,40,28,0.6626507323866713,527940.2119405555,-4114.593598416905,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,29460.85409691956,21.08153642667244,29.25,2675571.68878058,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.21330380763329548,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK7,3922177.2985956073,23.866197183098592,-750977.8357231783,0.5384792892581054,-25713.838789534257,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,36354.64697754029,40,28,0.6626507323866713,575595.4552572047,-4329.006194681,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,32915.50148950104,21.08153642667244,29.25,2647790.332621383,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.2104136016134366,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK8,3922177.2985956073,23.866197183098592,-843796.9759950675,0.5384792892581054,-26773.22732500705,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,36601.905690516505,40,28,0.6626507323866713,599309.8768655398,-4432.016094309355,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,34822.44310209669,21.08153642667244,29.25,2632536.580219169,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.20882602169336306,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_P01_LK9,3922177.2985956073,23.866197183098592,-897478.899811255,0.5384792892581054,-27650.500091044978,3922177.2985956073,7194.221597471409,-3054.4958920296153,5454.552441755397,9990.21148827011,2405.1594776995307,4,36745.34386058525,40,28,0.6626507323866713,618977.5399013549,-4482.0943385809605,35.5,473.8844117466911,5207999.999999999,182010.73156637722,4,0.753106240129725,37037.916523012565,21.08153642667244,29.25,2624746.6590343113,16.894710665270832,"[1, 12, 1.25, 12, 0.5, 17]",425.8268602527785,-0.20763665971489872,8.667,0.5679854106024511,0.753106240129725,2.0,5207999.999999999
TX_28_40_R08_LK0,4084381.6529154764,24.200000000000003,-38248.15804871645,0.5384792892581054,-837.8684559504505,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,35642.34812633124,40,28,0.690055111639199,31892.643989231576,-1399.3984704778345,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,1001.3465508410632,35.601980852797915,48.2,3096169.6484838454,29.40911399146812,"[40, 149]",673.8087024119781,-0.08879953371966336,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK1,4084381.6529154764,24.200000000000003,-75034.33995383276,0.5384792892581054,-1622.20539695543,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,35693.67736419522,40,28,0.690055111639199,61821.05107111181,-1551.3883958171575,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,1965.421710240022,35.601980852797915,48.2,3079733.623566856,29.40911399146812,"[40, 149]",673.8087024119781,-0.08820462829397867,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK2,4084381.6529154764,24.200000000000003,-135778.56891126104,0.5384792892581054,-2856.47459640227,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,35796.06576253758,40,28,0.690055111639199,108917.83899750236,-1791.5748202485215,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,3557.3822598604993,35.601980852797915,48.2,3052736.5181506234,29.40911399146812,"[40, 149]",673.8087024119781,-0.08722521694384647,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK3,4084381.6529154764,24.200000000000003,-243191.5660998057,0.5384792892581054,-4448.6757734427965,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,35986.23758658642,40,28,0.690055111639199,169775.44588759457,-2087.1579237093297,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,6017.788482585412,35.601980852797915,48.2,3016349.4178834013,29.40911399146812,"[40, 149]",673.8087024119781,-0.08590337482324807,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
TX_28_40_R08_LK4,4084381.6529154764,24.200000000000003,-424913.9713286414,0.5384792892581054,-6869.863615486173,4084381.6529154764,19816.116937677085,-2254.166066815655,-10136.765306801959,26335.510357765335,9800.0,4,36298.39792031511,40,28,0.690055111639199,262261.3405354677,-2338.456426371403,43.8,739.720367432748,5207999.999999999,285181.94641946635,3,0.7842514694538166,10518.078694499607,35.601980852797915,48.2,2979352.977270424,29.40911399146812,"[40, 149]",673.8087024119781,-0.08451381521462523,8.667,0.5913170379643811,0.7842514694538166,0.20000000000000284,5207999.999999999
