Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,ybar1,girders,Sb1,I,girderspacing,df1,df2,haunch,TandemMoment
TX_24_45_P01_LK4,4071475.2186411875,23.866197183098592,-156718.71062426383,0.4545429751953418,-6094.345901042624,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,32151.54235008874,45,24,0.5697281770904984,131544.46341668192,-1741.4222075299476,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,6719.833885838172,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_P01_LK5,4071475.2186411875,23.866197183098592,-262096.98010509944,0.4545429751953418,-9972.290068590046,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,32495.847176002393,45,24,0.5697281770904984,215226.78757487333,-1742.34095126114,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,11238.922697154636,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_P01_LK6,4071475.2186411875,23.866197183098592,-381737.1017084979,0.4545429751953418,-14152.17476287901,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,32895.8618660884,45,24,0.5697281770904984,305424.6993598157,-1743.2399980966268,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,16369.618570543447,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_P01_LK7,4071475.2186411875,23.866197183098592,-485160.3340239471,0.4545429751953418,-17570.566496335854,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,33249.623763238786,45,24,0.5697281770904984,379190.32175652887,-1743.8912218151465,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,20804.858731179716,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_P01_LK8,4071475.2186411875,23.866197183098592,-617191.9658215154,0.4545429751953418,-21407.391462230626,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,33938.01424415073,45,24,0.5697281770904984,462049.40416106425,-1731.6241913733675,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,26462.946610513063,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_P01_LK9,4071475.2186411875,23.866197183098592,-595666.3602996282,0.4545429751953418,-21021.315872798787,4071475.2186411875,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,33635.85963788639,45,24,0.5697281770904984,453654.1911248445,-1744.4566734804998,35.5,466.98906549167503,6288000.0,182010.73156637722,4,0.6474992396057868,25543.83590392579,20.54220254382916,29.25,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.49095265784990955,0.6474992396057868,2.0,6288000.0
TX_24_45_R01_LK0,3865364.489544093,16.25,-10456.05224012641,0.4545429751953418,-396.7520043107161,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,31938.842453616933,45,24,0.5408867661371312,8933.768574223983,-1703.6821104968685,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,429.187508442393,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK1,3865364.489544093,16.25,-22063.144826971566,0.4545429751953418,-838.7831194675693,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,31975.38171453443,45,24,0.5408867661371312,18790.245262471744,-1703.765201831363,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,909.3961629267197,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK2,3865364.489544093,16.25,-45815.196621841416,0.4545429751953418,-1737.0813139609074,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,32050.419721465256,45,24,0.5408867661371312,38820.6343222542,-1703.9307996992084,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,1892.0654566270853,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
TX_24_45_R01_LK3,3865364.489544093,16.25,-91853.23833422594,0.4545429751953418,-3454.079536423212,3865364.489544093,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,32196.893497513694,45,24,0.5408867661371312,77106.52048088901,-1704.2346296992914,38.2,492.0269841301811,6288000.0,100934.47641637054,4,0.6147208157671904,3796.747717524859,21.414412164347148,29.25,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.46627847857396704,0.6147208157671904,3.25,6288000.0
